customer_id,gender,age,signup_date,subscription_type,monthly_fee,tenure_months,last_activity_date,num_logins_last_month,avg_watch_time_hours,num_complaints,used_discount,payment_method,auto_renew,country,device_type,has_multiple_profiles,support_tickets_last_year,churn
CUST00000,Male,56,2022-11-02,Premium,30,29,2024-09-10,5,9.46,0,True,Debit Card,False,Germany,Mobile,True,0,0
CUST00001,Male,19,2023-12-11,Standard,20,16,2024-04-18,2,19.85,1,True,Debit Card,True,Germany,Desktop,False,0,1
CUST00002,Male,44,2022-05-15,Premium,30,35,2023-04-21,4,15.81,0,True,PayPal,False,Germany,Desktop,True,1,1
CUST00003,Male,68,2023-03-10,Basic,10,25,2025-02-23,2,18.87,0,False,PayPal,True,Canada,Desktop,True,1,1
CUST00004,Male,45,2025-04-18,Basic,10,0,2025-04-19,3,18.23,0,False,PayPal,True,India,Mobile,True,1,0
CUST00005,Female,59,2022-06-04,Standard,20,34,2024-02-10,3,8.21,2,False,Debit Card,False,Germany,Desktop,True,1,0
CUST00006,Male,38,2023-03-07,Standard,20,25,2024-12-11,5,3.25,1,False,Debit Card,True,Canada,Desktop,True,2,1
CUST00007,Female,28,2024-09-24,Standard,20,7,2024-10-25,9,7.73,1,False,Debit Card,True,India,Mobile,True,1,0
CUST00008,Female,52,2022-07-04,Premium,30,33,2022-12-05,7,1.0,0,False,Debit Card,True,Canada,Desktop,False,0,0
CUST00009,Male,69,2023-08-20,Basic,10,20,2025-02-04,5,18.89,0,False,PayPal,True,India,Desktop,True,3,1
CUST00010,Male,45,2023-07-19,Premium,30,21,2024-07-04,7,4.94,0,True,PayPal,False,UK,Desktop,False,2,0
CUST00011,Male,26,2022-09-03,Basic,10,31,2022-10-05,4,4.77,0,False,Debit Card,False,USA,SmartTV,True,1,1
CUST00012,Female,29,2023-01-12,Standard,20,27,2025-01-13,4,12.39,0,True,Credit Card,False,Germany,Mobile,True,0,1
CUST00013,Female,50,2023-03-02,Standard,20,25,2023-05-17,6,7.71,0,True,Credit Card,False,Canada,Desktop,False,3,0
CUST00014,Female,33,2025-01-05,Standard,20,3,2025-01-17,3,12.02,1,False,PayPal,False,Canada,Mobile,True,1,0
CUST00015,Female,69,2023-02-10,Standard,20,26,2024-02-01,8,4.96,0,False,Credit Card,False,USA,Desktop,True,2,0
CUST00016,Female,29,2023-06-21,Basic,10,22,2023-08-06,7,17.81,3,True,Credit Card,True,India,SmartTV,False,1,0
CUST00017,Female,42,2024-09-02,Basic,10,7,2025-01-18,0,3.64,0,True,Credit Card,False,Canada,Desktop,True,2,0
CUST00018,Female,50,2023-10-18,Basic,10,18,2024-11-21,5,11.08,0,False,Credit Card,False,Germany,Desktop,True,1,0
CUST00019,Female,55,2023-05-05,Basic,10,23,2024-01-08,7,14.59,0,True,Credit Card,True,Germany,Desktop,True,0,0
CUST00020,Female,34,2024-01-29,Premium,30,15,2025-01-14,10,6.46,0,False,Debit Card,True,Germany,Desktop,True,0,0
CUST00021,Female,35,2023-08-21,Premium,30,20,2023-10-30,7,10.61,2,True,Debit Card,True,USA,Desktop,False,1,0
CUST00022,Female,43,2023-05-11,Premium,30,23,2023-12-24,11,2.33,0,False,Credit Card,True,India,Desktop,False,0,0
CUST00023,Male,39,2024-05-14,Premium,30,11,2024-06-08,2,16.54,0,True,Debit Card,False,Canada,Mobile,False,0,1
CUST00024,Female,61,2024-05-13,Standard,20,11,2025-04-02,6,3.09,2,True,Credit Card,False,Germany,Mobile,True,1,0
CUST00025,Male,43,2022-10-31,Premium,30,30,2025-04-05,4,3.88,0,True,Debit Card,False,USA,SmartTV,True,0,0
CUST00026,Female,65,2023-10-07,Premium,30,18,2024-06-16,7,11.54,0,False,Debit Card,True,Germany,Desktop,True,0,0
CUST00027,Male,45,2024-01-06,Premium,30,15,2025-02-25,1,17.18,1,False,PayPal,False,Canada,SmartTV,False,0,1
CUST00028,Male,56,2023-07-23,Basic,10,21,2024-11-08,3,19.01,1,False,Credit Card,True,Germany,Mobile,False,0,0
CUST00029,Male,49,2022-10-31,Standard,20,30,2023-12-02,3,13.03,0,True,Debit Card,True,USA,Mobile,True,2,0
CUST00030,Female,50,2025-02-06,Standard,20,2,2025-04-11,7,2.47,0,False,PayPal,True,UK,Mobile,False,0,0
CUST00031,Female,34,2022-12-08,Premium,30,28,2023-08-10,6,7.29,1,False,Credit Card,False,Canada,Desktop,False,2,0
CUST00032,Male,41,2023-07-12,Standard,20,21,2025-04-02,10,2.51,1,True,PayPal,False,UK,Desktop,False,1,0
CUST00033,Male,66,2024-02-08,Premium,30,14,2024-06-20,6,10.11,0,False,Credit Card,False,India,Desktop,False,0,0
CUST00034,Female,69,2024-01-07,Premium,30,15,2025-02-10,6,11.22,0,False,Credit Card,True,UK,Mobile,False,1,1
CUST00035,Male,29,2022-11-18,Standard,20,29,2023-09-10,8,10.51,0,False,Debit Card,True,UK,Desktop,True,3,0
CUST00036,Male,62,2024-10-02,Premium,30,6,2024-10-06,5,18.17,0,False,PayPal,False,Canada,Mobile,True,1,0
CUST00037,Male,37,2022-06-20,Standard,20,34,2023-04-28,4,19.26,0,False,Debit Card,True,Germany,Mobile,True,0,0
CUST00038,Male,55,2023-01-18,Premium,30,27,2025-01-17,5,18.53,1,True,Credit Card,True,India,Desktop,True,1,1
CUST00039,Male,66,2024-10-18,Basic,10,6,2025-02-27,5,5.98,2,False,Credit Card,False,USA,SmartTV,True,1,1
CUST00040,Female,43,2023-09-22,Basic,10,19,2025-01-01,4,9.34,0,True,PayPal,True,UK,SmartTV,True,0,0
CUST00041,Female,30,2022-05-30,Basic,10,35,2022-09-30,10,1.01,0,True,PayPal,True,UK,Mobile,False,2,0
CUST00042,Female,42,2022-07-27,Premium,30,33,2023-01-24,6,17.36,3,True,Debit Card,False,Germany,SmartTV,False,3,1
CUST00043,Female,63,2023-12-04,Premium,30,16,2025-04-11,5,5.74,0,True,PayPal,False,Germany,Desktop,False,1,0
CUST00044,Male,67,2023-08-30,Basic,10,20,2024-01-30,6,15.23,1,False,Credit Card,False,India,Desktop,True,0,1
CUST00045,Male,51,2023-10-19,Basic,10,18,2023-11-23,6,15.78,0,False,PayPal,False,India,Desktop,False,3,0
